# TargetP-2.0	Organism: Plant	Timestamp: 20231212165150
# ID	Prediction	OTHER	SP	mTP	cTP	lTP	CS Position
KAI7835483.1	OTHER	0.999088	0.000012	0.000026	0.000795	0.000078	
KAI7835491.1	OTHER	0.929719	0.069884	0.000162	0.000233	0.000002	
KAI7835500.1	OTHER	0.999238	0.000334	0.000387	0.000015	0.000026	
KAI7835503.1	cTP	0.001379	0.000001	0.206594	0.786931	0.005096	CS pos: 35-36. TRA-QT. Pr: 0.4480
KAI7835504.1	OTHER	0.999878	0.000119	0.000001	0.000001	0.000001	
KAI7835508.1	SP	0.000057	0.999894	0.000039	0.000009	0.000000	CS pos: 22-23. VGA-RP. Pr: 0.8809
KAI7835509.1	OTHER	0.999818	0.000013	0.000003	0.000156	0.000010	
KAI7835527.1	OTHER	0.999589	0.000365	0.000046	0.000001	0.000000	
KAI7835529.1	mTP	0.062032	0.034551	0.657428	0.242826	0.003163	CS pos: 56-57. RPY-SS. Pr: 0.7875
KAI7835530.1	OTHER	0.999891	0.000108	0.000000	0.000000	0.000000	
KAI7835532.1	cTP	0.000365	0.000001	0.005768	0.990979	0.002886	CS pos: 41-42. VSA-LA. Pr: 0.4469
KAI7835537.1	mTP	0.030902	0.000609	0.968411	0.000077	0.000001	CS pos: 28-29. TRQ-LH. Pr: 0.4283
KAI7835539.1	OTHER	0.903639	0.010544	0.024953	0.060623	0.000240	
KAI7835540.1	OTHER	0.999868	0.000128	0.000000	0.000004	0.000001	
KAI7835543.1	cTP	0.000002	0.000000	0.000000	0.935458	0.064540	CS pos: 58-59. RVA-AM. Pr: 0.3189
KAI7835549.1	SP	0.000120	0.999878	0.000002	0.000000	0.000000	CS pos: 19-20. AQA-AA. Pr: 0.6361
KAI7835554.1	mTP	0.072954	0.000016	0.680682	0.243771	0.002578	CS pos: 34-35. VAL-ST. Pr: 0.4349
KAI7835555.1	cTP	0.000826	0.000014	0.068399	0.930692	0.000069	CS pos: 34-35. VRA-QA. Pr: 0.5338
KAI7835556.1	mTP	0.060278	0.001016	0.938350	0.000350	0.000007	CS pos: 25-26. ITA-SH. Pr: 0.2214
KAI7835559.1	SP	0.000267	0.986136	0.013576	0.000010	0.000011	CS pos: 17-18. VRA-QD. Pr: 0.8068
KAI7835561.1	OTHER	0.996629	0.003369	0.000001	0.000000	0.000001	
KAI7835567.1	OTHER	0.990172	0.000466	0.000357	0.008977	0.000027	
KAI7835568.1	mTP	0.036836	0.000073	0.721306	0.241359	0.000425	CS pos: 26-27. LGY-TV. Pr: 0.4608
KAI7835592.1	OTHER	0.995714	0.004278	0.000004	0.000004	0.000000	
KAI7835594.1	OTHER	0.829577	0.161756	0.008528	0.000050	0.000088	
KAI7835595.1	OTHER	0.918108	0.028480	0.042900	0.009922	0.000590	
KAI7835603.1	OTHER	0.804822	0.013016	0.172215	0.009819	0.000128	
KAI7835626.1	OTHER	0.999933	0.000062	0.000004	0.000001	0.000000	
KAI7835628.1	OTHER	0.975593	0.024068	0.000303	0.000017	0.000019	
KAI7835629.1	OTHER	0.969125	0.008603	0.017278	0.003075	0.001919	
KAI7835631.1	OTHER	0.946782	0.010962	0.013538	0.028640	0.000079	
KAI7835635.1	OTHER	0.995662	0.000792	0.003455	0.000079	0.000012	
KAI7835641.1	OTHER	0.688984	0.001460	0.008846	0.299951	0.000760	
KAI7835655.1	OTHER	0.999962	0.000006	0.000009	0.000022	0.000000	
KAI7835657.1	OTHER	0.969939	0.001347	0.001437	0.027203	0.000073	
KAI7835669.1	OTHER	0.515647	0.007689	0.065490	0.401830	0.009344	
KAI7835671.1	OTHER	0.997847	0.001192	0.000337	0.000616	0.000007	
KAI7835698.1	OTHER	0.743776	0.011101	0.227814	0.014566	0.002743	
KAI7835713.1	OTHER	0.960899	0.004468	0.032978	0.001639	0.000016	
KAI7835718.1	OTHER	0.990181	0.003155	0.006063	0.000473	0.000127	
KAI7835726.1	OTHER	0.941513	0.008921	0.040430	0.009110	0.000026	
KAI7835729.1	OTHER	0.997499	0.002388	0.000106	0.000001	0.000007	
KAI7835730.1	OTHER	0.994080	0.004070	0.000665	0.001117	0.000069	
KAI7835734.1	cTP	0.024819	0.000006	0.005745	0.967673	0.001758	CS pos: 40-41. VRA-AT. Pr: 0.8403
KAI7835749.1	OTHER	0.627670	0.000179	0.371276	0.000808	0.000067	
KAI7835757.1	OTHER	0.521428	0.478528	0.000031	0.000005	0.000008	
KAI7835759.1	cTP	0.000046	0.000001	0.000177	0.999768	0.000008	CS pos: 43-44. VRA-EG. Pr: 0.4638
KAI7835770.1	OTHER	0.912367	0.061608	0.012581	0.013304	0.000139	
KAI7835774.1	OTHER	0.999708	0.000246	0.000046	0.000000	0.000000	
KAI7835781.1	OTHER	0.945891	0.000094	0.051304	0.002682	0.000029	
KAI7835782.1	OTHER	0.997885	0.000314	0.000012	0.001722	0.000067	
KAI7835790.1	cTP	0.064710	0.000006	0.019987	0.915257	0.000040	CS pos: 44-45. ATA-AA. Pr: 0.3082
KAI7835791.1	OTHER	0.601292	0.000292	0.294564	0.103686	0.000167	
KAI7835796.1	mTP	0.005406	0.000071	0.993913	0.000608	0.000001	CS pos: 30-31. RVF-TT. Pr: 0.7879
KAI7835802.1	OTHER	0.992263	0.007225	0.000380	0.000130	0.000002	
KAI7835803.1	OTHER	0.992263	0.007225	0.000380	0.000130	0.000002	
KAI7835812.1	OTHER	0.998589	0.001199	0.000072	0.000003	0.000136	
KAI7835816.1	OTHER	0.999983	0.000016	0.000000	0.000000	0.000000	
KAI7835817.1	OTHER	0.999325	0.000622	0.000037	0.000010	0.000005	
KAI7835829.1	OTHER	0.999207	0.000538	0.000010	0.000241	0.000005	
KAI7835830.1	OTHER	0.999988	0.000011	0.000001	0.000001	0.000000	
KAI7835839.1	cTP	0.393405	0.006000	0.205305	0.394651	0.000639	CS pos: 58-59. TTC-QL. Pr: 0.3395
KAI7835841.1	OTHER	0.998603	0.001380	0.000008	0.000004	0.000004	
KAI7835873.1	mTP	0.000264	0.000040	0.995031	0.004665	0.000001	CS pos: 29-30. RGY-GT. Pr: 0.8459
KAI7835882.1	OTHER	0.922387	0.009562	0.006652	0.058626	0.002773	
KAI7835888.1	OTHER	0.999277	0.000535	0.000003	0.000185	0.000001	
KAI7835890.1	cTP	0.002900	0.000004	0.006136	0.990426	0.000534	CS pos: 56-57. KVC-GV. Pr: 0.3485
KAI7835894.1	OTHER	0.960213	0.003622	0.036155	0.000007	0.000004	
KAI7835897.1	cTP	0.201387	0.001976	0.384408	0.411786	0.000443	CS pos: 39-40. VSR-SG. Pr: 0.1577
KAI7835908.1	mTP	0.001378	0.000052	0.998503	0.000058	0.000008	CS pos: 23-24. RLL-ST. Pr: 0.6285
KAI7835941.1	OTHER	0.965481	0.023514	0.000415	0.004383	0.006208	
KAI7835944.1	OTHER	0.977896	0.001151	0.020672	0.000208	0.000074	
KAI7835947.1	OTHER	0.999327	0.000256	0.000046	0.000322	0.000049	
KAI7835949.1	cTP	0.059172	0.000011	0.093138	0.844723	0.002955	CS pos: 30-31. ARA-AV. Pr: 0.3823
KAI7835961.1	OTHER	0.998304	0.000807	0.000181	0.000686	0.000021	
KAI7835962.1	mTP	0.000322	0.000002	0.558141	0.441169	0.000366	CS pos: 51-52. RGF-SS. Pr: 0.4633
KAI7835968.1	OTHER	0.989394	0.009285	0.000724	0.000591	0.000007	
KAI7835969.1	mTP	0.179206	0.000044	0.776939	0.043512	0.000299	CS pos: 45-46. RRH-AA. Pr: 0.3417
KAI7835975.1	OTHER	0.854250	0.002065	0.017974	0.122674	0.003037	
KAI7835977.1	SP	0.000778	0.999161	0.000059	0.000002	0.000000	CS pos: 21-22. CGA-LR. Pr: 0.4688
KAI7835988.1	OTHER	0.999257	0.000686	0.000057	0.000000	0.000000	
KAI7835998.1	OTHER	0.995595	0.000304	0.003466	0.000402	0.000233	
KAI7835999.1	OTHER	0.996994	0.000452	0.002505	0.000035	0.000014	
KAI7836009.1	OTHER	0.970972	0.000543	0.028121	0.000341	0.000024	
KAI7836016.1	lTP	0.139240	0.008059	0.004427	0.299347	0.548928	CS pos lTP: 73-74. AAA-AA. Pr: 0.5520; CS pos cTP: 28-29. Pr: 0.3251
KAI7836039.1	SP	0.001349	0.991361	0.006412	0.000876	0.000002	CS pos: 29-30. VHA-AR. Pr: 0.3449
KAI7836043.1	cTP	0.023359	0.000031	0.074776	0.901711	0.000124	CS pos: 33-34. VAA-SQ. Pr: 0.3591
KAI7836054.1	OTHER	0.999723	0.000168	0.000108	0.000000	0.000000	
KAI7836103.1	OTHER	0.999917	0.000081	0.000002	0.000001	0.000000	
KAI7836112.1	cTP	0.033571	0.000001	0.001614	0.964726	0.000088	CS pos: 39-40. LRA-AA. Pr: 0.2984
KAI7836121.1	SP	0.000219	0.999781	0.000000	0.000000	0.000000	CS pos: 24-25. AAA-QD. Pr: 0.4738
KAI7836125.1	SP	0.000146	0.999582	0.000186	0.000076	0.000010	CS pos: 19-20. ASA-TP. Pr: 0.5235
KAI7836138.1	cTP	0.000108	0.000000	0.019336	0.979629	0.000926	CS pos: 55-56. TRA-LF. Pr: 0.2069
KAI7836141.1	OTHER	0.999259	0.000212	0.000079	0.000426	0.000024	
KAI7836143.1	SP	0.000034	0.999497	0.000259	0.000210	0.000001	CS pos: 22-23. ALA-SD. Pr: 0.8746
KAI7836146.1	OTHER	0.999889	0.000109	0.000002	0.000000	0.000000	
KAI7836150.1	OTHER	0.915047	0.048566	0.006453	0.028911	0.001023	
KAI7836152.1	OTHER	0.999420	0.000148	0.000005	0.000424	0.000003	
KAI7836164.1	OTHER	0.999830	0.000121	0.000045	0.000004	0.000000	
KAI7836178.1	OTHER	0.999869	0.000106	0.000006	0.000015	0.000005	
KAI7836181.1	OTHER	0.993276	0.000091	0.006619	0.000002	0.000012	
KAI7836183.1	OTHER	0.999132	0.000280	0.000582	0.000005	0.000001	
KAI7836184.1	OTHER	0.999980	0.000019	0.000000	0.000000	0.000000	
KAI7836188.1	OTHER	0.813124	0.169413	0.000663	0.000242	0.016558	
KAI7836192.1	OTHER	0.999338	0.000013	0.000000	0.000649	0.000000	
KAI7836200.1	OTHER	0.842905	0.149947	0.000899	0.006193	0.000056	
KAI7836201.1	SP	0.000146	0.997868	0.001904	0.000082	0.000001	CS pos: 26-27. AAA-VR. Pr: 0.5625
KAI7836202.1	SP	0.000146	0.997868	0.001904	0.000082	0.000001	CS pos: 26-27. AAA-VR. Pr: 0.5625
KAI7836238.1	OTHER	0.995880	0.003228	0.000435	0.000445	0.000012	
KAI7836240.1	OTHER	0.999461	0.000453	0.000082	0.000004	0.000000	
KAI7836241.1	SP	0.001565	0.997876	0.000468	0.000074	0.000017	CS pos: 21-22. ATA-LQ. Pr: 0.5996
KAI7836250.1	OTHER	0.998227	0.000136	0.001142	0.000470	0.000025	
KAI7836251.1	OTHER	0.998227	0.000136	0.001142	0.000470	0.000025	
KAI7836254.1	mTP	0.002589	0.000031	0.997102	0.000274	0.000005	CS pos: 19-20. RGF-AS. Pr: 0.8825
KAI7836274.1	OTHER	0.998980	0.000258	0.000753	0.000003	0.000005	
KAI7836275.1	OTHER	0.998980	0.000258	0.000753	0.000003	0.000005	
KAI7836287.1	OTHER	0.950257	0.000008	0.000000	0.049399	0.000336	
KAI7836294.1	OTHER	0.999891	0.000099	0.000003	0.000005	0.000002	
KAI7836301.1	OTHER	0.986063	0.001500	0.011402	0.000892	0.000143	
KAI7836303.1	mTP	0.071752	0.033491	0.468124	0.426471	0.000161	CS pos: 35-36. RVY-AA. Pr: 0.6632
KAI7836306.1	OTHER	0.999953	0.000026	0.000001	0.000020	0.000000	
KAI7836308.1	OTHER	0.999814	0.000136	0.000049	0.000001	0.000000	
KAI7836323.1	OTHER	0.966985	0.001263	0.004254	0.014691	0.012808	
KAI7836327.1	cTP	0.002808	0.000005	0.010670	0.986457	0.000060	CS pos: 38-39. VQA-SK. Pr: 0.5430
KAI7836328.1	cTP	0.001506	0.000003	0.009781	0.988658	0.000053	CS pos: 38-39. VQA-SK. Pr: 0.5375
KAI7836329.1	OTHER	0.999981	0.000018	0.000000	0.000001	0.000000	
KAI7836339.1	OTHER	0.715175	0.004570	0.104015	0.171270	0.004970	
KAI7836348.1	cTP	0.136519	0.000063	0.266907	0.595481	0.001030	CS pos: 45-46. TTF-GE. Pr: 0.2381
KAI7836349.1	cTP	0.136519	0.000063	0.266907	0.595481	0.001030	CS pos: 45-46. TTF-GE. Pr: 0.2381
KAI7836350.1	OTHER	0.999643	0.000076	0.000273	0.000001	0.000007	
KAI7836362.1	SP	0.000265	0.998957	0.000759	0.000017	0.000002	CS pos: 24-25. AAA-AL. Pr: 0.3098
KAI7836371.1	OTHER	0.999925	0.000026	0.000037	0.000009	0.000002	
KAI7836372.1	mTP	0.005434	0.000023	0.546717	0.446793	0.001033	CS pos: 25-26. RAM-AT. Pr: 0.4736
KAI7836376.1	OTHER	0.994271	0.003655	0.002058	0.000008	0.000007	
KAI7836378.1	mTP	0.041867	0.000111	0.957947	0.000073	0.000001	CS pos: 23-24. QRF-LN. Pr: 0.2837
KAI7836379.1	mTP	0.041867	0.000111	0.957947	0.000073	0.000001	CS pos: 23-24. QRF-LN. Pr: 0.2837
KAI7836381.1	OTHER	0.999999	0.000001	0.000000	0.000000	0.000000	
KAI7836386.1	OTHER	0.567249	0.003747	0.000303	0.341275	0.087426	
KAI7836387.1	OTHER	0.595432	0.005410	0.000443	0.311744	0.086971	
KAI7836408.1	mTP	0.002491	0.000232	0.927829	0.069386	0.000061	CS pos: 30-31. RLF-SS. Pr: 0.9120
KAI7836410.1	OTHER	0.999933	0.000066	0.000000	0.000001	0.000000	
KAI7836413.1	OTHER	0.999244	0.000199	0.000483	0.000062	0.000013	
KAI7836415.1	OTHER	0.992394	0.007435	0.000156	0.000011	0.000004	
KAI7836418.1	mTP	0.002990	0.000017	0.990786	0.006202	0.000005	CS pos: 28-29. RTM-GT. Pr: 0.6697
KAI7836422.1	cTP	0.332570	0.000189	0.286987	0.379979	0.000274	CS pos: 36-37. WAA-AA. Pr: 0.2491
KAI7836438.1	OTHER	0.977456	0.022486	0.000053	0.000002	0.000003	
KAI7836442.1	OTHER	0.744786	0.014095	0.237006	0.004048	0.000065	
KAI7836445.1	OTHER	0.989183	0.001290	0.006394	0.003076	0.000058	
KAI7836449.1	OTHER	0.838346	0.004950	0.136829	0.019634	0.000242	
KAI7836457.1	OTHER	0.996710	0.000616	0.000017	0.002654	0.000003	
KAI7836463.1	OTHER	0.518394	0.020337	0.459946	0.001295	0.000028	
KAI7836464.1	OTHER	0.999861	0.000031	0.000005	0.000068	0.000035	
KAI7836476.1	OTHER	0.996376	0.000721	0.002879	0.000019	0.000005	
KAI7836477.1	OTHER	0.995001	0.003642	0.000147	0.001140	0.000069	
KAI7836482.1	mTP	0.157668	0.000383	0.781115	0.060803	0.000030	CS pos: 36-37. GRW-AA. Pr: 0.2515
KAI7836522.1	OTHER	0.999755	0.000232	0.000013	0.000000	0.000000	
KAI7836523.1	OTHER	0.999716	0.000270	0.000015	0.000000	0.000000	
KAI7836525.1	OTHER	0.999142	0.000639	0.000039	0.000170	0.000010	
KAI7836528.1	OTHER	0.997988	0.001441	0.000116	0.000450	0.000004	
KAI7836532.1	OTHER	0.999923	0.000058	0.000005	0.000014	0.000000	
KAI7836538.1	cTP	0.330885	0.208149	0.104168	0.352084	0.004713	CS pos: 84-85. AIA-AL. Pr: 0.3718
KAI7836545.1	OTHER	0.997630	0.002282	0.000044	0.000040	0.000004	
KAI7836553.1	mTP	0.149789	0.000468	0.529855	0.318714	0.001173	CS pos: 74-75. GLF-SG. Pr: 0.3516
KAI7836555.1	cTP	0.017338	0.000003	0.045746	0.935624	0.001289	CS pos: 30-31. VVA-SA. Pr: 0.4013
KAI7836571.1	OTHER	0.997947	0.001853	0.000129	0.000061	0.000011	
KAI7836580.1	OTHER	0.999855	0.000065	0.000080	0.000001	0.000000	
KAI7836581.1	OTHER	0.999846	0.000074	0.000079	0.000001	0.000000	
KAI7836601.1	OTHER	0.996069	0.002571	0.001216	0.000131	0.000013	
KAI7836602.1	OTHER	0.999519	0.000213	0.000244	0.000022	0.000001	
KAI7836603.1	mTP	0.070811	0.000053	0.762229	0.165169	0.001739	CS pos: 33-34. QRF-SV. Pr: 0.7361
KAI7836606.1	cTP	0.002511	0.000067	0.038172	0.959153	0.000097	CS pos: 35-36. VRA-SA. Pr: 0.8591
KAI7836607.1	OTHER	0.859782	0.128583	0.008623	0.001985	0.001027	
KAI7836612.1	OTHER	0.999642	0.000330	0.000020	0.000005	0.000003	
KAI7836613.1	OTHER	0.999649	0.000313	0.000037	0.000001	0.000000	
KAI7836621.1	OTHER	0.999549	0.000231	0.000098	0.000100	0.000022	
KAI7836622.1	SP	0.000014	0.999985	0.000001	0.000000	0.000000	CS pos: 22-23. AAA-QE. Pr: 0.7451
KAI7836625.1	OTHER	0.647965	0.000057	0.169303	0.179732	0.002944	
KAI7836632.1	OTHER	0.999986	0.000004	0.000010	0.000001	0.000000	
KAI7836640.1	OTHER	0.687829	0.008692	0.259893	0.041953	0.001633	
KAI7836645.1	OTHER	0.966085	0.002175	0.028556	0.003169	0.000016	
KAI7836665.1	mTP	0.231215	0.147852	0.418135	0.196987	0.005810	CS pos: 44-45. ARY-VH. Pr: 0.4636
KAI7836674.1	OTHER	0.998978	0.000917	0.000101	0.000000	0.000004	
KAI7836675.1	OTHER	0.525430	0.339859	0.129525	0.000184	0.005001	
KAI7836677.1	OTHER	0.999779	0.000018	0.000202	0.000001	0.000000	
KAI7836678.1	cTP	0.001666	0.000010	0.002780	0.993616	0.001928	CS pos: 47-48. LCA-AA. Pr: 0.2783
KAI7836685.1	mTP	0.001330	0.000007	0.905321	0.093314	0.000028	CS pos: 31-32. RAM-ST. Pr: 0.7911
KAI7836688.1	OTHER	0.998317	0.001232	0.000446	0.000003	0.000002	
KAI7836701.1	OTHER	0.994612	0.000411	0.004976	0.000000	0.000001	
KAI7836703.1	OTHER	0.999681	0.000304	0.000014	0.000000	0.000000	
KAI7836709.1	OTHER	0.833777	0.030367	0.045190	0.054664	0.036002	
KAI7836711.1	OTHER	0.999735	0.000051	0.000180	0.000024	0.000009	
KAI7836713.1	OTHER	0.998850	0.001091	0.000057	0.000002	0.000000	
KAI7836723.1	OTHER	0.934067	0.008817	0.004994	0.000811	0.051312	
KAI7836726.1	OTHER	0.999758	0.000017	0.000225	0.000000	0.000000	
KAI7836736.1	OTHER	0.989562	0.001593	0.008561	0.000283	0.000002	
KAI7836740.1	OTHER	0.877441	0.025521	0.093588	0.003193	0.000257	
KAI7836743.1	OTHER	0.920441	0.000644	0.003331	0.075538	0.000047	
KAI7836746.1	OTHER	0.996542	0.000275	0.000158	0.002994	0.000031	
KAI7836755.1	OTHER	0.998835	0.000956	0.000196	0.000013	0.000000	
KAI7836759.1	mTP	0.000119	0.000131	0.919278	0.080462	0.000010	CS pos: 35-36. RGY-AT. Pr: 0.5308
KAI7836768.1	mTP	0.053891	0.000263	0.638130	0.303522	0.004194	CS pos: 32-33. TRA-VE. Pr: 0.1712
KAI7836772.1	OTHER	0.999942	0.000045	0.000012	0.000001	0.000000	
KAI7836781.1	OTHER	0.999942	0.000008	0.000000	0.000049	0.000000	
KAI7836785.1	OTHER	0.999694	0.000152	0.000131	0.000000	0.000023	
KAI7836794.1	OTHER	0.999859	0.000048	0.000002	0.000089	0.000002	
KAI7836807.1	OTHER	0.983576	0.008931	0.006122	0.001356	0.000014	
KAI7836814.1	OTHER	0.997208	0.002227	0.000406	0.000150	0.000009	
KAI7836818.1	OTHER	0.983505	0.000699	0.015779	0.000013	0.000003	
KAI7836819.1	OTHER	0.836263	0.000256	0.127849	0.035011	0.000622	
KAI7836838.1	SP	0.000213	0.999566	0.000170	0.000036	0.000015	CS pos: 24-25. AAA-QA. Pr: 0.3758
KAI7836843.1	OTHER	0.999994	0.000004	0.000002	0.000000	0.000000	
KAI7836847.1	OTHER	0.991275	0.000026	0.008694	0.000002	0.000003	
KAI7836851.1	OTHER	0.995089	0.002144	0.002691	0.000073	0.000003	
KAI7836861.1	mTP	0.001269	0.000002	0.674966	0.323760	0.000002	CS pos: 38-39. RGV-AA. Pr: 0.1519
KAI7836863.1	mTP	0.008224	0.000006	0.704975	0.281269	0.005526	CS pos: 33-34. RRI-ST. Pr: 0.4861
KAI7836873.1	OTHER	0.968905	0.031021	0.000069	0.000005	0.000000	
KAI7836876.1	SP	0.031322	0.966599	0.000464	0.001517	0.000099	CS pos: 41-42. ARA-AA. Pr: 0.5407
KAI7836889.1	OTHER	0.998719	0.001098	0.000137	0.000002	0.000044	
KAI7836894.1	cTP	0.000708	0.000015	0.000947	0.725401	0.272930	CS pos: 32-33. VRA-AA. Pr: 0.3789
KAI7836902.1	OTHER	0.971716	0.003463	0.024242	0.000517	0.000062	
KAI7836906.1	OTHER	0.998634	0.000629	0.000732	0.000005	0.000001	
KAI7836907.1	OTHER	0.999563	0.000354	0.000045	0.000038	0.000000	
KAI7836923.1	OTHER	0.998091	0.001610	0.000294	0.000005	0.000000	
KAI7836927.1	cTP	0.111425	0.000231	0.086346	0.801466	0.000531	CS pos: 36-37. RRA-AV. Pr: 0.3761
KAI7836929.1	OTHER	0.998349	0.001637	0.000006	0.000006	0.000002	
KAI7836935.1	OTHER	0.998138	0.001323	0.000046	0.000471	0.000022	
KAI7836942.1	OTHER	0.858709	0.007898	0.066509	0.065753	0.001130	
KAI7836944.1	cTP	0.013525	0.000031	0.029321	0.956616	0.000508	CS pos: 34-35. VQA-KV. Pr: 0.5928
KAI7836946.1	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	
KAI7836950.1	OTHER	0.999308	0.000633	0.000048	0.000010	0.000001	
KAI7836957.1	OTHER	0.949988	0.016678	0.018012	0.014792	0.000531	
KAI7836959.1	OTHER	0.999825	0.000171	0.000004	0.000000	0.000000	
KAI7836973.1	OTHER	0.684210	0.000095	0.273743	0.041245	0.000708	
KAI7836974.1	OTHER	0.684210	0.000095	0.273743	0.041245	0.000708	
KAI7836975.1	OTHER	0.642239	0.092461	0.137090	0.105352	0.022857	
KAI7836976.1	OTHER	0.642239	0.092461	0.137090	0.105352	0.022857	
KAI7836981.1	OTHER	0.902584	0.088333	0.005949	0.002933	0.000201	
KAI7836988.1	OTHER	0.644295	0.000998	0.008535	0.345716	0.000456	
KAI7836992.1	cTP	0.003206	0.000002	0.012283	0.984458	0.000050	CS pos: 57-58. VSA-EA. Pr: 0.2400
KAI7836995.1	SP	0.000121	0.999708	0.000162	0.000010	0.000000	CS pos: 29-30. AAA-LK. Pr: 0.5196
KAI7837008.1	OTHER	0.988195	0.003113	0.008487	0.000172	0.000033	
KAI7837013.1	cTP	0.047347	0.001492	0.065420	0.885314	0.000427	CS pos: 74-75. VVL-DA. Pr: 0.1219
KAI7837014.1	OTHER	0.903231	0.094661	0.001104	0.000593	0.000412	
KAI7837048.1	cTP	0.014519	0.000004	0.040360	0.945072	0.000045	CS pos: 30-31. VKA-QA. Pr: 0.6532
KAI7837049.1	OTHER	0.999620	0.000324	0.000045	0.000009	0.000001	
KAI7837050.1	OTHER	0.999620	0.000324	0.000045	0.000009	0.000001	
KAI7837057.1	cTP	0.015770	0.000014	0.000488	0.982147	0.001581	CS pos: 36-37. TCS-AV. Pr: 0.1495
KAI7837064.1	OTHER	0.998623	0.000136	0.000840	0.000312	0.000088	
KAI7837068.1	OTHER	0.978857	0.008213	0.004866	0.007942	0.000122	
KAI7837073.1	OTHER	0.999567	0.000422	0.000008	0.000001	0.000001	
KAI7837077.1	OTHER	0.999692	0.000160	0.000141	0.000004	0.000002	
KAI7837081.1	OTHER	0.999776	0.000006	0.000000	0.000218	0.000000	
KAI7837089.1	OTHER	0.999953	0.000037	0.000004	0.000006	0.000001	
KAI7837093.1	SP	0.028938	0.967108	0.002507	0.001323	0.000125	CS pos: 28-29. GQR-DN. Pr: 0.2961
KAI7837094.1	cTP	0.184429	0.000225	0.002723	0.781147	0.031476	CS pos: 71-72. AQA-SG. Pr: 0.3349
KAI7837105.1	cTP	0.000003	0.000000	0.000033	0.999950	0.000014	CS pos: 43-44. ARA-AA. Pr: 0.6493
KAI7837110.1	OTHER	0.999785	0.000110	0.000063	0.000012	0.000029	
KAI7837113.1	OTHER	0.667283	0.102775	0.045039	0.179650	0.005253	
KAI7837115.1	cTP	0.001007	0.000003	0.082875	0.916090	0.000026	CS pos: 60-61. VRA-MA. Pr: 0.4711
KAI7837122.1	cTP	0.199965	0.000196	0.000099	0.771624	0.028116	CS pos: 64-65. ADR-AA. Pr: 0.1952
KAI7837126.1	OTHER	0.999751	0.000246	0.000000	0.000000	0.000003	
KAI7837138.1	cTP	0.038219	0.000010	0.229535	0.718787	0.013449	CS pos: 63-64. VEA-NA. Pr: 0.2296
